Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
"Cary - 1695 - An essay on the state of England in relation to its trade, its poor, and its taxes, for carrying on_page_51_page_001.xml",Tesseract,0.114046,0.342657,118,20,134,23,5,119,2385,429
Child - 1690 - A discourse about trade_page_175_page_001.xml,Tesseract,0.092857,0.325000,7,5,92,2,0,63,1120,200
Cotton - 1614 - Gods promise to his plantation_page_14_page_001.xml,Tesseract,0.068801,0.289963,12,37,52,5,20,53,1468,269
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21_page_001.xml,Tesseract,0.040218,0.220532,5,2,52,3,1,54,1467,263
"Davison - 1621 - Dauisons poems, or, A poeticall rapsodie Deuided into sixe bookes. The first, contayning poems and d_page_73_page_001.xml",Tesseract,0.227249,0.645429,115,164,163,15,60,158,1945,361
Dirom - 1783 - Thoughts on the state of the militia of jamaica_page_20_page_001.xml,Tesseract,0.078462,0.345133,21,1,29,8,1,30,650,113
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211_page_001.xml",Tesseract,0.038089,0.191176,2,3,54,1,0,51,1549,272
F. M. - 1634 - Wits Common Wealth The Second Part_page_198_page_001.xml,Tesseract,0.255052,0.718935,35,263,169,7,78,158,1831,338
"Fawconer - 1774 - The Sporting Calendar, containing an account of the plates, matches, andf sweepstakes_page_182_page_001.xml",Tesseract,0.126672,0.473029,34,24,103,6,15,93,1271,241
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230_page_001.xml,Tesseract,0.006782,0.033058,4,1,4,3,0,5,1327,242
Fox - 1800 - An address to the people of Great Britain on the propriety of abstaining from West India Sugar and Rum_page_5_page_001.xml,Tesseract,0.147975,0.414634,288,39,148,74,27,137,3210,574
Gadbury - 1672 - The Jamaica Almanack_page_4_page_001.xml,Tesseract,0.222080,0.465823,221,111,189,62,15,107,2346,395
Gisborne - 1792 - On slavery and the slave trade_page_1_page_001.xml,Tesseract,0.072564,0.316794,21,6,78,2,6,75,1447,262
Hamilton - 1718 - An answer to an Anonymous Libel_page_48_page_001.xml,Tesseract,0.033051,0.160550,3,3,33,0,3,32,1180,218
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45_page_001.xml,Tesseract,0.126815,0.398422,221,11,126,58,19,125,2823,507
Hayne - 1685 - An abstract of all the statutes made concerning aliens trading in England from the first-year of K._page_12_page_001.xml,Tesseract,0.093884,0.287671,188,97,197,35,33,205,5134,949
Hickeringill - 1705 - Jamaica Viewed_page_28_page_001.xml,Tesseract,0.101176,0.343750,16,40,73,4,7,66,1275,224
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211_page_001.xml,Tesseract,0.060743,0.257485,40,17,64,17,2,67,1992,334
"Ingram - 1744 - An essay, on the nature, cause, and seat of dysentery's, in a letter to Dr. Henry Warren of Barbados_page_35_page_001.xml",Tesseract,0.075034,0.250000,7,12,36,2,0,31,733,132
